DATE,PRCP,TMAX,TMIN,RAIN,RAIN_BOOL
4/2/2011,0.37,48,39,TRUE,1
4/3/2011,0.06,49,38,TRUE,1
4/4/2011,0.24,47,41,TRUE,1
4/5/2011,0.23,46,41,TRUE,1
4/6/2011,0.12,48,34,TRUE,1
4/7/2011,0.08,49,33,TRUE,1
4/8/2011,0,54,34,FALSE,0
4/9/2011,0.01,55,42,TRUE,1
4/10/2011,0.16,55,44,TRUE,1
4/11/2011,0,51,38,FALSE,0
4/12/2011,0,53,35,FALSE,0
4/13/2011,0.17,48,40,TRUE,1
4/14/2011,0.4,47,39,TRUE,1
4/15/2011,0.09,53,38,TRUE,1
4/16/2011,0.06,53,42,TRUE,1
4/17/2011,0.01,52,36,TRUE,1
4/18/2011,0.01,51,36,TRUE,1
4/19/2011,0,53,36,FALSE,0
4/20/2011,0,54,36,FALSE,0
4/21/2011,0,53,38,FALSE,0
4/22/2011,0,57,38,FALSE,0
4/23/2011,0,66,38,FALSE,0
4/24/2011,0.18,55,45,TRUE,1
4/25/2011,0.52,52,43,TRUE,1
4/26/2011,0.01,57,42,TRUE,1
4/27/2011,0.45,52,37,TRUE,1
4/28/2011,0.04,51,39,TRUE,1
4/29/2011,0,54,39,FALSE,0
4/30/2011,0.13,56,43,TRUE,1
5/1/2011,0,62,39,FALSE,0
5/2/2011,0.18,53,44,TRUE,1
5/3/2011,0,58,44,FALSE,0
5/4/2011,0,62,42,FALSE,0
5/5/2011,0.03,57,45,TRUE,1
5/6/2011,0.13,54,46,TRUE,1
5/7/2011,0.04,56,45,TRUE,1
5/8/2011,0.02,58,44,TRUE,1
5/9/2011,0,57,47,FALSE,0
5/10/2011,0,59,47,FALSE,0
5/11/2011,0.42,51,42,TRUE,1
5/12/2011,0,60,38,FALSE,0
5/13/2011,0,64,41,FALSE,0
5/14/2011,0.97,66,48,TRUE,1
5/15/2011,0.81,51,47,TRUE,1
5/16/2011,0,56,43,FALSE,0
5/17/2011,0,64,39,FALSE,0
5/18/2011,0,66,46,FALSE,0
5/19/2011,0,68,43,FALSE,0
5/20/2011,0,70,45,FALSE,0
5/21/2011,0.04,54,48,TRUE,1
5/22/2011,0,60,48,FALSE,0
5/23/2011,0,63,44,FALSE,0
5/24/2011,0,65,47,FALSE,0
5/25/2011,0.41,56,47,TRUE,1
5/26/2011,0.01,61,45,TRUE,1
5/27/2011,0.02,58,46,TRUE,1
5/28/2011,0.01,62,45,TRUE,1
5/29/2011,0,59,50,FALSE,0
5/30/2011,0,61,49,FALSE,0
5/31/2011,0.11,61,48,TRUE,1
6/1/2011,0.17,59,50,TRUE,1
6/2/2011,0.08,61,49,TRUE,1
6/3/2011,0,68,48,FALSE,0
6/4/2011,0,78,50,FALSE,0
6/5/2011,0,71,54,FALSE,0
6/6/2011,0,72,52,FALSE,0
6/7/2011,0.21,64,50,TRUE,1
6/8/2011,0,62,49,FALSE,0
6/9/2011,0,69,50,FALSE,0
6/10/2011,0,65,53,FALSE,0
6/11/2011,0,66,52,FALSE,0
6/12/2011,0.01,70,48,TRUE,1
6/13/2011,0.11,68,52,TRUE,1
6/14/2011,0,63,51,FALSE,0
6/15/2011,0.06,65,48,TRUE,1
6/16/2011,0,70,46,FALSE,0
6/17/2011,0,71,46,FALSE,0
6/18/2011,0.41,58,53,TRUE,1
6/19/2011,0.03,63,51,TRUE,1
6/20/2011,0,70,54,FALSE,0
6/21/2011,0,78,54,FALSE,0
6/22/2011,0,67,52,FALSE,0
6/23/2011,0.07,66,50,TRUE,1
6/24/2011,0.26,67,51,TRUE,1
6/25/2011,0.01,68,51,TRUE,1
6/26/2011,0,72,48,FALSE,0
6/27/2011,0,69,58,FALSE,0
6/28/2011,0,74,58,FALSE,0
6/29/2011,0,67,54,FALSE,0
6/30/2011,0,67,53,FALSE,0
7/1/2011,0,72,49,FALSE,0
7/2/2011,0,82,52,FALSE,0
7/3/2011,0,72,56,FALSE,0
7/4/2011,0,78,51,FALSE,0
7/5/2011,0,81,51,FALSE,0
7/6/2011,0,84,57,FALSE,0
7/7/2011,0.03,67,54,TRUE,1
7/8/2011,0,71,51,FALSE,0
7/9/2011,0,74,52,FALSE,0
7/10/2011,0,76,55,FALSE,0
7/11/2011,0,75,55,FALSE,0
7/12/2011,0.08,70,57,TRUE,1
7/13/2011,0,73,55,FALSE,0
7/14/2011,0.02,62,56,TRUE,1
7/15/2011,0.02,76,56,TRUE,1
7/16/2011,0.35,74,57,TRUE,1
7/17/2011,0.07,63,55,TRUE,1
7/18/2011,0,74,50,FALSE,0
7/19/2011,0,70,55,FALSE,0
7/20/2011,0,74,54,FALSE,0
7/21/2011,0,70,57,FALSE,0
7/22/2011,0,72,51,FALSE,0
7/23/2011,0,79,54,FALSE,0
7/24/2011,0,83,58,FALSE,0
7/25/2011,0.13,63,57,TRUE,1
7/26/2011,0,70,57,FALSE,0
7/27/2011,0,72,57,FALSE,0
7/28/2011,0,78,54,FALSE,0
7/29/2011,0,76,60,FALSE,0
7/30/2011,0,79,56,FALSE,0
7/31/2011,0,71,58,FALSE,0
8/1/2011,0,77,54,FALSE,0
8/2/2011,0,77,55,FALSE,0
8/3/2011,0,79,58,FALSE,0
8/4/2011,0,81,57,FALSE,0
8/5/2011,0,66,57,FALSE,0
8/6/2011,0,73,58,FALSE,0
8/7/2011,0,74,56,FALSE,0
8/8/2011,0,70,54,FALSE,0
8/9/2011,0,70,55,FALSE,0
8/10/2011,0,71,55,FALSE,0
8/11/2011,0,74,54,FALSE,0
8/12/2011,0,76,52,FALSE,0
8/13/2011,0,70,53,FALSE,0
8/14/2011,0,71,55,FALSE,0
8/15/2011,0,74,57,FALSE,0
8/16/2011,0,78,55,FALSE,0
8/17/2011,0,77,53,FALSE,0
8/18/2011,0,73,54,FALSE,0
8/19/2011,0,78,53,FALSE,0
8/20/2011,0,85,59,FALSE,0
8/21/2011,0,87,59,FALSE,0
8/22/2011,0.12,71,60,TRUE,1
8/23/2011,0,77,60,FALSE,0
8/24/2011,0,84,57,FALSE,0
8/25/2011,0,82,58,FALSE,0
8/26/2011,0,84,59,FALSE,0
8/27/2011,0,84,56,FALSE,0
8/28/2011,0,80,54,FALSE,0
8/29/2011,0,70,57,FALSE,0
8/30/2011,0.01,69,54,TRUE,1
8/31/2011,0,69,52,FALSE,0
9/1/2011,0,73,50,FALSE,0
9/2/2011,0,71,56,FALSE,0
9/3/2011,0,82,53,FALSE,0
9/4/2011,0,83,52,FALSE,0
9/5/2011,0,82,54,FALSE,0
9/6/2011,0,84,53,FALSE,0
9/7/2011,0,83,54,FALSE,0
9/8/2011,0,85,58,FALSE,0
9/9/2011,0,85,56,FALSE,0
9/10/2011,0,84,56,FALSE,0
9/11/2011,0,85,59,FALSE,0
9/12/2011,0,68,57,FALSE,0
9/13/2011,0,64,57,FALSE,0
9/14/2011,0,67,58,FALSE,0
9/15/2011,0,65,54,FALSE,0
9/16/2011,0,64,52,FALSE,0
9/17/2011,0.2,62,52,TRUE,1
9/18/2011,0.28,65,52,TRUE,1
9/19/2011,0.01,69,54,TRUE,1
9/20/2011,0,77,48,FALSE,0
9/21/2011,0,76,60,FALSE,0
9/22/2011,0,76,62,FALSE,0
9/23/2011,0,80,63,FALSE,0
9/24/2011,0,75,60,FALSE,0
9/25/2011,0.19,67,55,TRUE,1
9/26/2011,0.59,61,53,TRUE,1
9/27/2011,0.01,65,51,TRUE,1
9/28/2011,0,65,48,FALSE,0
9/29/2011,0,77,46,FALSE,0
9/30/2011,0.01,65,51,TRUE,1
10/1/2011,0.02,59,50,TRUE,1
10/2/2011,0.37,64,49,TRUE,1
10/3/2011,0.1,62,52,TRUE,1
10/4/2011,0.05,63,49,TRUE,1
10/5/2011,0.09,55,49,TRUE,1
10/6/2011,0.11,58,49,TRUE,1
10/7/2011,0.06,55,50,TRUE,1
10/8/2011,0.02,65,46,TRUE,1
10/9/2011,0.1,60,51,TRUE,1
10/10/2011,0.25,59,51,TRUE,1
10/11/2011,0.89,59,52,TRUE,1
10/12/2011,0,59,48,FALSE,0
10/13/2011,0,59,43,FALSE,0
10/14/2011,0.01,58,45,TRUE,1
10/15/2011,0,57,43,FALSE,0
10/16/2011,0,50,42,FALSE,0
10/17/2011,0,61,42,FALSE,0
10/18/2011,0,67,45,FALSE,0
10/19/2011,0,59,47,FALSE,0
10/20/2011,0,59,47,FALSE,0
10/21/2011,0.12,58,50,TRUE,1
10/22/2011,0.58,60,55,TRUE,1
10/23/2011,0,57,48,FALSE,0
10/24/2011,0,57,45,FALSE,0
10/25/2011,0,54,40,FALSE,0
10/26/2011,0.02,50,37,TRUE,1
10/27/2011,0,54,41,FALSE,0
10/28/2011,0.5,54,42,TRUE,1
10/29/2011,0,56,44,FALSE,0
10/30/2011,0.16,57,44,TRUE,1
10/31/2011,0,53,42,FALSE,0
11/1/2011,0,52,37,FALSE,0
11/2/2011,0.35,52,34,TRUE,1
11/3/2011,0,52,40,FALSE,0
11/4/2011,0.05,44,37,TRUE,1
11/5/2011,0,50,36,FALSE,0
11/6/2011,0,49,32,FALSE,0
11/7/2011,0.01,49,39,TRUE,1
11/8/2011,0,55,42,FALSE,0
11/9/2011,0,62,46,FALSE,0
11/10/2011,0,59,40,FALSE,0
11/11/2011,0.23,51,38,TRUE,1
11/12/2011,0.25,49,34,TRUE,1
11/13/2011,0.02,49,41,TRUE,1
11/14/2011,0,47,35,FALSE,0
11/15/2011,0,48,32,FALSE,0
11/16/2011,0.49,52,34,TRUE,1
11/17/2011,0.28,48,35,TRUE,1
11/18/2011,0.08,39,33,TRUE,1
11/19/2011,0,41,31,FALSE,0
11/20/2011,0,39,27,FALSE,0
11/21/2011,0.3,50,33,TRUE,1
11/22/2011,1.76,52,41,TRUE,1
11/23/2011,0.55,53,40,TRUE,1
11/24/2011,0.26,45,37,TRUE,1
11/25/2011,0,48,36,FALSE,0
11/26/2011,0.02,51,41,TRUE,1
11/27/2011,0.42,56,44,TRUE,1
11/28/2011,0,48,37,FALSE,0
11/29/2011,0.09,44,35,TRUE,1
11/30/2011,0,45,37,FALSE,0
12/1/2011,0,41,29,FALSE,0
12/2/2011,0.01,44,32,TRUE,1
12/3/2011,0,42,31,FALSE,0
12/4/2011,0,43,31,FALSE,0
12/5/2011,0,42,28,FALSE,0
12/6/2011,0,38,28,FALSE,0
12/7/2011,0,41,35,FALSE,0
12/8/2011,0,40,32,FALSE,0
12/9/2011,0,40,26,FALSE,0
12/10/2011,0,40,31,FALSE,0
12/11/2011,0.02,40,35,TRUE,1
12/12/2011,0,39,28,FALSE,0
12/13/2011,0,41,26,FALSE,0
12/14/2011,0,40,33,FALSE,0
12/15/2011,0.03,44,38,TRUE,1
12/16/2011,0,49,40,FALSE,0
12/17/2011,0,50,33,FALSE,0
12/18/2011,0.19,46,35,TRUE,1
12/19/2011,0,46,36,FALSE,0
12/20/2011,0,44,37,FALSE,0
12/21/2011,0,45,32,FALSE,0
12/22/2011,0,38,27,FALSE,0
12/23/2011,0.02,49,35,TRUE,1
12/24/2011,0,52,43,FALSE,0
12/25/2011,0.03,50,37,TRUE,1
12/26/2011,0.05,42,37,TRUE,1
12/27/2011,0.9,51,40,TRUE,1
12/28/2011,0.63,53,48,TRUE,1
12/29/2011,0.29,51,44,TRUE,1
12/30/2011,0.07,49,36,TRUE,1
12/31/2011,0,43,32,FALSE,0
1/1/2012,0,55,41,FALSE,0
1/2/2012,0.43,51,37,TRUE,1
1/3/2012,0.03,53,45,TRUE,1
1/4/2012,0.8,54,42,TRUE,1
1/5/2012,0.05,48,37,TRUE,1
1/6/2012,0.1,40,36,TRUE,1
1/7/2012,0,45,37,FALSE,0
1/8/2012,0,50,37,FALSE,0
1/9/2012,0.17,49,41,TRUE,1
1/10/2012,0.04,43,33,TRUE,1
1/11/2012,0,43,30,FALSE,0
1/12/2012,0,43,29,FALSE,0
1/13/2012,0,41,27,FALSE,0
1/14/2012,0.16,40,33,TRUE,1
1/15/2012,0.21,34,26,TRUE,1
1/16/2012,0.1,35,27,TRUE,1
1/17/2012,0.32,38,32,TRUE,1
1/18/2012,0.78,32,27,TRUE,1
1/19/2012,0.6,30,27,TRUE,1
1/20/2012,0.53,45,30,TRUE,1
1/21/2012,0.12,47,38,TRUE,1
1/22/2012,0.24,44,36,TRUE,1
1/23/2012,0,47,34,FALSE,0
1/24/2012,0.34,50,36,TRUE,1
1/25/2012,0.32,48,40,TRUE,1
1/26/2012,0.19,48,34,TRUE,1
1/27/2012,0,44,28,FALSE,0
1/28/2012,0,44,33,FALSE,0
1/29/2012,1.09,49,39,TRUE,1
1/30/2012,0.14,47,43,TRUE,1
1/31/2012,0.07,49,43,TRUE,1
2/1/2012,0.53,48,38,TRUE,1
2/2/2012,0,47,35,FALSE,0
2/3/2012,0,58,36,FALSE,0
2/4/2012,0,60,41,FALSE,0
2/5/2012,0,57,35,FALSE,0
2/6/2012,0,61,35,FALSE,0
2/7/2012,0.01,60,46,TRUE,1
2/8/2012,0.11,50,41,TRUE,1
2/9/2012,0.1,52,46,TRUE,1
2/10/2012,0.1,55,44,TRUE,1
2/11/2012,0.03,48,42,TRUE,1
2/12/2012,0.04,47,41,TRUE,1
2/13/2012,0.45,45,40,TRUE,1
2/14/2012,0.1,44,34,TRUE,1
2/15/2012,0,45,33,FALSE,0
2/16/2012,0.07,45,38,TRUE,1
2/17/2012,0.68,50,40,TRUE,1
2/18/2012,0.25,44,39,TRUE,1
2/19/2012,0,44,36,FALSE,0
2/20/2012,0.12,46,35,TRUE,1
2/21/2012,0.03,50,46,TRUE,1
2/22/2012,0.34,50,37,TRUE,1
2/23/2012,0,47,37,FALSE,0
2/24/2012,0.45,44,40,TRUE,1
2/25/2012,0,45,37,FALSE,0
2/26/2012,0.05,41,30,TRUE,1
2/27/2012,0,44,28,FALSE,0
2/28/2012,0.14,44,31,TRUE,1
2/29/2012,0.03,41,34,TRUE,1
3/1/2012,0,43,34,FALSE,0
3/2/2012,0.08,44,39,TRUE,1
3/3/2012,0,54,44,FALSE,0
3/4/2012,0,51,44,FALSE,0
3/5/2012,0.27,46,34,TRUE,1
3/6/2012,0.02,44,32,TRUE,1
3/7/2012,0,48,29,FALSE,0
3/8/2012,0,60,33,FALSE,0
3/9/2012,0.14,49,41,TRUE,1
3/10/2012,0.41,45,43,TRUE,1
3/11/2012,0.54,44,37,TRUE,1
3/12/2012,0.76,47,33,TRUE,1
3/13/2012,0.37,42,33,TRUE,1
3/14/2012,0.34,46,34,TRUE,1
3/15/2012,0.94,52,42,TRUE,1
3/16/2012,0.33,48,39,TRUE,1
3/17/2012,0.37,50,33,TRUE,1
3/18/2012,0.14,41,31,TRUE,1
3/19/2012,0.08,45,30,TRUE,1
3/20/2012,0.14,46,36,TRUE,1
3/21/2012,0.05,48,34,TRUE,1
3/22/2012,0.16,50,35,TRUE,1
3/23/2012,0,54,33,FALSE,0
3/24/2012,0,59,38,FALSE,0
3/25/2012,0,56,36,FALSE,0
3/26/2012,0,55,43,FALSE,0
3/27/2012,0.19,58,44,TRUE,1
3/28/2012,0.05,51,45,TRUE,1
3/29/2012,1.08,50,43,TRUE,1
3/30/2012,0.22,49,41,TRUE,1
3/31/2012,0.52,50,37,TRUE,1
4/1/2012,0.06,48,40,TRUE,1
4/2/2012,0,62,40,FALSE,0
4/3/2012,0.06,53,38,TRUE,1
4/4/2012,0,51,37,FALSE,0
4/5/2012,0.18,49,37,TRUE,1
4/6/2012,0.01,52,38,TRUE,1
4/7/2012,0,61,35,FALSE,0
4/8/2012,0,70,45,FALSE,0
4/9/2012,0,68,43,FALSE,0
4/10/2012,0,64,48,FALSE,0
4/11/2012,0.09,52,45,TRUE,1
4/12/2012,0.02,57,42,TRUE,1
4/13/2012,0,59,39,FALSE,0
4/14/2012,0,60,38,FALSE,0
4/15/2012,0,61,45,FALSE,0
4/16/2012,0.32,56,44,TRUE,1
4/17/2012,0.07,50,40,TRUE,1
4/18/2012,0.07,56,45,TRUE,1
4/19/2012,0.43,57,41,TRUE,1
4/20/2012,0.26,56,44,TRUE,1
4/21/2012,0,68,40,FALSE,0
4/22/2012,0,74,47,FALSE,0
4/23/2012,0,71,48,FALSE,0
4/24/2012,0.17,57,50,TRUE,1
4/25/2012,0.42,62,48,TRUE,1
4/26/2012,0.15,57,44,TRUE,1
4/27/2012,0.03,56,43,TRUE,1
4/28/2012,0,61,47,FALSE,0
4/29/2012,0.17,60,48,TRUE,1
4/30/2012,0.17,55,45,TRUE,1
5/1/2012,0.02,53,43,TRUE,1
5/2/2012,0.02,56,42,TRUE,1
5/3/2012,0.73,52,45,TRUE,1
5/4/2012,0.07,54,43,TRUE,1
5/5/2012,0,56,41,FALSE,0
5/6/2012,0,64,41,FALSE,0
5/7/2012,0,75,43,FALSE,0
5/8/2012,0,65,49,FALSE,0
5/9/2012,0,56,44,FALSE,0
5/10/2012,0,58,39,FALSE,0
5/11/2012,0,65,40,FALSE,0
5/12/2012,0,76,44,FALSE,0
5/13/2012,0,78,49,FALSE,0
5/14/2012,0,80,55,FALSE,0
5/15/2012,0,76,49,FALSE,0
5/16/2012,0,67,49,FALSE,0
5/17/2012,0,64,44,FALSE,0
5/18/2012,0,60,46,FALSE,0
5/19/2012,0,67,45,FALSE,0
5/20/2012,0.25,58,53,TRUE,1
5/21/2012,0.55,62,50,TRUE,1
5/22/2012,0.24,55,48,TRUE,1
5/23/2012,0.01,58,48,TRUE,1
5/24/2012,0,63,48,FALSE,0
5/25/2012,0,72,48,FALSE,0
5/26/2012,0,72,48,FALSE,0
5/27/2012,0,63,53,FALSE,0
5/28/2012,0,62,50,FALSE,0
5/29/2012,0,61,46,FALSE,0
5/30/2012,0.01,66,52,TRUE,1
5/31/2012,0.15,64,54,TRUE,1
6/1/2012,0.26,68,55,TRUE,1
6/2/2012,0.01,66,51,TRUE,1
6/3/2012,0,63,49,FALSE,0
6/4/2012,0.05,55,48,TRUE,1
6/5/2012,0.63,56,47,TRUE,1
6/6/2012,0,61,43,FALSE,0
6/7/2012,0.65,61,48,TRUE,1
6/8/2012,0.06,59,47,TRUE,1
6/9/2012,0,63,47,FALSE,0
6/10/2012,0,66,50,FALSE,0
6/11/2012,0,74,50,FALSE,0
6/12/2012,0.03,65,55,TRUE,1
6/13/2012,0,61,52,FALSE,0
6/14/2012,0,63,50,FALSE,0
6/15/2012,0,72,49,FALSE,0
6/16/2012,0,70,59,FALSE,0
6/17/2012,0,66,53,FALSE,0
6/18/2012,0.12,63,50,TRUE,1
6/19/2012,0.04,67,50,TRUE,1
6/20/2012,0,76,50,FALSE,0
6/21/2012,0,75,53,FALSE,0
6/22/2012,0.62,57,53,TRUE,1
6/23/2012,0.34,60,49,TRUE,1
6/24/2012,0,67,49,FALSE,0
6/25/2012,0.02,67,52,TRUE,1
6/26/2012,0,65,51,FALSE,0
6/27/2012,0,73,48,FALSE,0
6/28/2012,0,72,53,FALSE,0
6/29/2012,0.01,71,59,TRUE,1
6/30/2012,0.12,68,56,TRUE,1
7/1/2012,0,68,54,FALSE,0
7/2/2012,0.08,66,53,TRUE,1
7/3/2012,0.23,65,51,TRUE,1
7/4/2012,0,69,49,FALSE,0
7/5/2012,0,76,51,FALSE,0
7/6/2012,0,77,52,FALSE,0
7/7/2012,0,80,55,FALSE,0
7/8/2012,0,83,58,FALSE,0
7/9/2012,0.06,77,55,TRUE,1
7/10/2012,0,75,52,FALSE,0
7/11/2012,0,82,56,FALSE,0
7/12/2012,0,78,56,FALSE,0
7/13/2012,0.02,74,57,TRUE,1
7/14/2012,0,77,59,FALSE,0
7/15/2012,0,66,56,FALSE,0
7/16/2012,0.01,79,56,TRUE,1
7/17/2012,0,71,59,FALSE,0
7/18/2012,0,70,58,FALSE,0
7/19/2012,0,77,58,FALSE,0
7/20/2012,0.6,67,57,TRUE,1
7/21/2012,0,75,57,FALSE,0
7/22/2012,0.04,69,54,TRUE,1
7/23/2012,0,66,52,FALSE,0
7/24/2012,0,74,54,FALSE,0
7/25/2012,0,80,55,FALSE,0
7/26/2012,0,78,55,FALSE,0
7/27/2012,0,66,57,FALSE,0
7/28/2012,0,72,56,FALSE,0
7/29/2012,0,73,59,FALSE,0
7/30/2012,0,67,56,FALSE,0
7/31/2012,0,73,57,FALSE,0
8/1/2012,0,75,56,FALSE,0
8/2/2012,0,74,54,FALSE,0
8/3/2012,0,81,55,FALSE,0
8/4/2012,0,93,62,FALSE,0
8/5/2012,0,93,64,FALSE,0
8/6/2012,0,83,60,FALSE,0
8/7/2012,0,70,59,FALSE,0
8/8/2012,0,72,59,FALSE,0
8/9/2012,0,76,58,FALSE,0
8/10/2012,0,78,54,FALSE,0
8/11/2012,0,83,56,FALSE,0
8/12/2012,0,87,59,FALSE,0
8/13/2012,0,87,59,FALSE,0
8/14/2012,0,84,57,FALSE,0
8/15/2012,0,88,62,FALSE,0
8/16/2012,0,94,65,FALSE,0
8/17/2012,0,91,61,FALSE,0
8/18/2012,0,71,58,FALSE,0
8/19/2012,0,74,59,FALSE,0
8/20/2012,0,78,59,FALSE,0
8/21/2012,0,74,56,FALSE,0
8/22/2012,0,72,56,FALSE,0
8/23/2012,0,70,57,FALSE,0
8/24/2012,0,72,50,FALSE,0
8/25/2012,0,79,53,FALSE,0
8/26/2012,0,70,54,FALSE,0
8/27/2012,0,75,56,FALSE,0
8/28/2012,0,73,54,FALSE,0
8/29/2012,0,73,56,FALSE,0
8/30/2012,0,73,55,FALSE,0
8/31/2012,0,72,51,FALSE,0
9/1/2012,0,71,51,FALSE,0
9/2/2012,0,70,50,FALSE,0
9/3/2012,0,73,55,FALSE,0
9/4/2012,0,76,52,FALSE,0
9/5/2012,0,79,53,FALSE,0
9/6/2012,0,83,58,FALSE,0
9/7/2012,0,90,56,FALSE,0
9/8/2012,0,77,56,FALSE,0
9/9/2012,0.01,66,57,TRUE,1
9/10/2012,0.01,68,53,TRUE,1
9/11/2012,0,68,48,FALSE,0
9/12/2012,0,72,50,FALSE,0
9/13/2012,0,82,53,FALSE,0
9/14/2012,0,79,52,FALSE,0
9/15/2012,0,72,52,FALSE,0
9/16/2012,0,76,49,FALSE,0
9/17/2012,0,82,53,FALSE,0
9/18/2012,0,82,53,FALSE,0
9/19/2012,0,75,53,FALSE,0
9/20/2012,0,67,50,FALSE,0
9/21/2012,0,61,55,FALSE,0
9/22/2012,0.01,67,53,TRUE,1
9/23/2012,0,67,50,FALSE,0
9/24/2012,0,70,50,FALSE,0
9/25/2012,0,67,52,FALSE,0
9/26/2012,0,67,49,FALSE,0
9/27/2012,0,73,50,FALSE,0
9/28/2012,0,77,54,FALSE,0
9/29/2012,0,69,54,FALSE,0
9/30/2012,0,70,46,FALSE,0
10/1/2012,0,74,48,FALSE,0
10/2/2012,0,64,50,FALSE,0
10/3/2012,0,66,46,FALSE,0
10/4/2012,0,66,47,FALSE,0
10/5/2012,0,71,48,FALSE,0
10/6/2012,0,75,46,FALSE,0
10/7/2012,0,75,46,FALSE,0
10/8/2012,0,70,46,FALSE,0
10/9/2012,0,61,48,FALSE,0
10/10/2012,0,54,47,FALSE,0
10/11/2012,0,57,45,FALSE,0
10/12/2012,0.08,57,48,TRUE,1
10/13/2012,0.19,60,54,TRUE,1
10/14/2012,0.65,64,56,TRUE,1
10/15/2012,0.31,63,52,TRUE,1
10/16/2012,0,61,47,FALSE,0
10/17/2012,0,58,43,FALSE,0
10/18/2012,0.82,64,44,TRUE,1
10/19/2012,0.19,59,49,TRUE,1
10/20/2012,0.02,52,43,TRUE,1
10/21/2012,0.25,53,40,TRUE,1
10/22/2012,0.35,46,38,TRUE,1
10/23/2012,0,52,42,FALSE,0
10/24/2012,0.28,53,43,TRUE,1
10/25/2012,0,53,44,FALSE,0
10/26/2012,0.06,52,45,TRUE,1
10/27/2012,0.91,58,49,TRUE,1
10/28/2012,0.24,58,50,TRUE,1
